,FIPS,Census Tract,Pop Density,Income,Age,Household Size,Total Pop,Mexican,Cuban,Dominican,Salvadoran,Colombian,Peruvian,Venezuelan,Indian,Cambodian,Chinese,Filipino,Japanese,Korean,Laotian,Malaysian,Nepalese,Pakistani,Taiwanese,Thai,Vietnamese,Lebanese,Moroccan,Armenian,French,German,Greek,Irish,Italian,Polish,Russian,Turkish,Haitian,White,Black or African American,American Indian and Alaska Native,Asian,Hispanic or Latino
1,36005000100,000100,11586.31,,32.1,,7503,1.86592029855,0.279888044782,5.07796881248,0.479808076769,0.10662401706,0.0,0.0,0.733040117286,0.0,0.519792083167,0.0,0.0,0.133280021325,0.0,0.0,0.0666400106624,0.0,0.0,0.0,0.0,0.0799680127949,0.0666400106624,0.0,0.0,0.399840063974,0.0,0.653072104492,0.413168066107,0.453152072504,0.439824070372,0.0,0.613088098094,12.4350259896,62.6016260163,0.186592029855,1.79928028788,29.8547247768
2,36005000200,000200,28365.12,70893.0,38.6,3.94,5251,3.86593029899,0.190439916206,12.8166063607,0.0,1.23785945534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00933155589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.856979622929,0.0,0.87602361455,0.0,0.685583698343,0.0,0.0,0.0,43.4583888783,24.7952770901,0.0,2.79946676823,74.9571510189
3,36005000400,000400,20096.47,76667.0,39.4,3.1,5980,1.67224080268,1.52173913043,13.2441471572,0.0,0.0,0.0,0.401337792642,0.317725752508,0.0,0.0,0.384615384615,0.0,0.0334448160535,0.0,0.0,0.0,0.0,0.0,0.0,0.217391304348,0.0,0.0,0.0,0.0,0.167224080268,0.384615384615,0.434782608696,2.54180602007,0.351170568562,0.150501672241,0.0,0.0,43.3612040134,33.762541806,0.317725752508,0.953177257525,64.6822742475
4,36005001600,001600,32334.87,31540.0,36.9,2.94,6056,0.577939233818,1.46961690885,29.9207397622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.132100396301,0.132100396301,0.148612945839,0.0660501981506,0.429326287979,0.743064729194,0.132100396301,0.115587846764,0.0,0.528401585205,43.3124174373,36.0799207398,0.0,0.0,66.7272126816
5,36005001900,001900,4164.445,39130.0,32.5,2.27,2682,4.80984340045,0.0,17.0022371365,2.79642058166,0.633855331842,1.52870991797,0.223713646532,0.708426547353,0.0,0.372856077554,0.149142431022,0.447427293065,0.186428038777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49142431022,0.0,1.78970917226,2.27442207308,0.298284862043,0.260999254288,0.111856823266,0.820283370619,16.8530947054,37.0618941089,0.0,1.86428038777,54.0268456376
6,36005002000,002000,59785.98,17083.0,32.5,3.04,9131,4.57781184974,0.0,20.5782499179,0.0,0.383309604644,0.0,0.0,1.64275544847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.832329427226,0.0,0.0,0.0,0.0,0.0,0.0,0.164275544847,0.0,0.0,0.0,0.0,0.339502792684,32.9865294053,45.121016318,1.80703099332,2.66126382653,61.3623918519
7,36005002300,002300,119395.1,16503.0,27.8,2.46,4824,3.73134328358,0.601160862355,11.5464344942,0.248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.601160862355,0.0,0.186567164179,1.09867330017,0.0,0.0,0.0,0.0,17.8689883914,41.0033167496,1.96932006633,0.0,62.7694859038
8,36005002400,002400,471.3173,,27.9,4.73,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.1544715447,0.0,0.0,0.0,0.0,0.0,47.1544715447,52.8455284553,0.0,0.0,0.0
9,36005002500,002500,114799.5,21060.0,30.4,3.11,5651,18.9523978057,0.0,19.44788533,2.51282958768,0.0,0.0,0.0,0.76092726951,0.0,1.6457264201,0.0,0.0,0.106175898071,0.0,0.0,0.19465581313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.230047779154,0.230047779154,0.0,0.495487524332,0.0,0.123871881083,0.0,0.0,0.0,15.7317288975,20.7927800389,0.0,3.34454078924,77.7915413201
10,36005002701,002701,95086.26,18409.0,25.2,2.82,3034,13.0191166777,2.0105471325,14.7000659196,0.0,0.0,1.68094924192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.527356624918,0.692155570204,0.0,0.0,0.0,0.0,12.656558998,34.5748187212,0.0,0.0,68.0290046144
11,36005002702,002702,78014.09,16000.0,27.3,3.07,4684,8.32621690863,0.149444918873,16.09735269,0.0,0.149444918873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.960717335611,0.0,0.0,0.0,14.560204953,36.3578138343,1.17421007686,0.0,69.0862510675
