,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,angkor-cambodian-bistro-new-york,"[{u'alias': u'cambodian', u'title': u'Cambodian'}, {u'alias': u'salad', u'title': u'Salad'}, {u'alias': u'seafood', u'title': u'Seafood'}]",40.762260437,-73.9591445923,(212) 758-2111,6980.04834862,CaizM2WaGPX5eRLDOJaqIw,https://s3-media1.fl.yelpcdn.com/bphoto/9LdA-QcX6T3O1MPLJ7dg9A/o.jpg,False,408 E 64th St,,,New York,US,"[408 E 64th St, New York, NY 10065]",NY,10065,Angkor Cambodian Bistro,+12127582111,$$,4.5,182,[restaurant_reservation],https://www.yelp.com/biz/angkor-cambodian-bistro-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,num-pang-kitchen-new-york-6,"[{u'alias': u'cambodian', u'title': u'Cambodian'}, {u'alias': u'sandwiches', u'title': u'Sandwiches'}]",40.73396,-73.99312,(646) 791-0439,3167.86982306,-jYxfK6Q1k84uUCag83Fqg,https://s3-media1.fl.yelpcdn.com/bphoto/mzU5AlZ5foQ17gUIBVDMyw/o.jpg,False,28 E 12th St,,,New York,US,"[28 E 12th St, New York, NY 10003]",NY,10003,Num Pang Kitchen,+16467910439,$,4.0,1343,"[delivery, pickup]",https://www.yelp.com/biz/num-pang-kitchen-new-york-6?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,num-pang-kitchen-new-york-2,"[{u'alias': u'cambodian', u'title': u'Cambodian'}, {u'alias': u'sandwiches', u'title': u'Sandwiches'}]",40.7503831246,-73.9761078759,(212) 867-8889,5226.59018827,cxtg17yy1YFt8gHRckUQcw,https://s3-media4.fl.yelpcdn.com/bphoto/V9Y92UBe7WkgIEJwhTzrCw/o.jpg,False,140 E 41st St,,,New York,US,"[140 E 41st St, New York, NY 10017]",NY,10017,Num Pang Kitchen,+12128678889,$,4.0,1067,"[delivery, pickup]",https://www.yelp.com/biz/num-pang-kitchen-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,num-pang-kitchen-new-york-7,"[{u'alias': u'sandwiches', u'title': u'Sandwiches'}, {u'alias': u'asianfusion', u'title': u'Asian Fusion'}, {u'alias': u'cambodian', u'title': u'Cambodian'}]",40.7528224112,-73.9870070647,(917) 409-1134,5335.97089604,pq7EMUOLCbQdKQ7PWL2bZA,https://s3-media3.fl.yelpcdn.com/bphoto/6T7rRquUXx2PvN9KHy541g/o.jpg,False,133 West 38th St,,,New York,US,"[133 West 38th St, New York, NY 10018]",NY,10018,Num Pang Kitchen,+19174091134,$$,4.5,19,"[delivery, pickup]",https://www.yelp.com/biz/num-pang-kitchen-new-york-7?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
5,battambang-market-bronx,"[{u'alias': u'cambodian', u'title': u'Cambodian'}]",40.865021,-73.893517,,19666.2914711,dH54zMwDvIc0pBauEBNsXQ,https://s3-media3.fl.yelpcdn.com/bphoto/cIE50HU1h4olVz9Ih_IvJw/o.jpg,False,229 E Kingsbridge Rd,,,Bronx,US,"[229 E Kingsbridge Rd, Bronx, NY 10458]",NY,10458,Battambang Market,,,3.5,2,[],https://www.yelp.com/biz/battambang-market-bronx?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,num-pang-kitchen-new-york,"[{u'alias': u'cambodian', u'title': u'Cambodian'}, {u'alias': u'sandwiches', u'title': u'Sandwiches'}]",40.743441,-73.989266,(212) 647-8889,4246.15913895,9FGJyUgdwLJHioLqz6tXfQ,https://s3-media3.fl.yelpcdn.com/bphoto/BN8FniapFo_7Up49ol-PSQ/o.jpg,False,1129 Broadway,,,New York,US,"[1129 Broadway, New York, NY 10010]",NY,10010,Num Pang Kitchen,+12126478889,$$,4.0,399,"[delivery, pickup]",https://www.yelp.com/biz/num-pang-kitchen-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,num-pang-kitchen-new-york-3,"[{u'alias': u'cambodian', u'title': u'Cambodian'}, {u'alias': u'sandwiches', u'title': u'Sandwiches'}]",40.7424250858,-74.0061251305,(212) 390-8851,4231.1677229,QGEsxvYE16UzpjJPa-6qXA,https://s3-media3.fl.yelpcdn.com/bphoto/zxxHwI5iNcnjCWHxN8hcvw/o.jpg,False,75 9th Ave,,Chelsea Market,New York,US,"[75 9th Ave, Chelsea Market, New York, NY 10011]",NY,10011,Num Pang Kitchen,+12123908851,$$,4.0,286,"[delivery, pickup]",https://www.yelp.com/biz/num-pang-kitchen-new-york-3?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
