,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,bugis-street-brasserie-and-bar-new-york-2,"[{'alias': 'singaporean', 'title': 'Singaporean'}, {'alias': 'panasian', 'title': 'Pan Asian'}, {'alias': 'chinese', 'title': 'Chinese'}]",40.7567689,-73.9843329,(212) 768-4400,5796.289882370555,sxv1oJxG8uu6u4tjKHiJMA,https://s3-media1.fl.yelpcdn.com/bphoto/N_Hm3RbjWbG2YE-z0YJJwQ/o.jpg,False,145 W 44th St,,,New York,US,"['145 W 44th St', 'New York, NY 10036']",NY,10036,Bugis Street Brasserie and Bar,+12127684400,$$,4.5,25,['restaurant_reservation'],https://www.yelp.com/biz/bugis-street-brasserie-and-bar-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,kopitiam-new-york,"[{'alias': 'malaysian', 'title': 'Malaysian'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'singaporean', 'title': 'Singaporean'}]",40.71508,-73.99157,,1082.1460576716572,r2JVKalbucGf2nryywuL2w,https://s3-media1.fl.yelpcdn.com/bphoto/my8sXjoEYIwsp3YiHYv64w/o.jpg,False,51B Canal St,,,New York,US,"['51B Canal St', 'New York, NY 10002']",NY,10002,Kopitiam,,$,4.5,269,"['pickup', 'delivery']",https://www.yelp.com/biz/kopitiam-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
14,khe-yo-new-york,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'singaporean', 'title': 'Singaporean'}]",40.716906,-74.008587,(212) 587-1089,1753.7446005214726,BKMCAYb9EAivUm3p-vrC9w,https://s3-media1.fl.yelpcdn.com/bphoto/F_FyRbpboO3FgGn0RLGFCQ/o.jpg,False,157 Duane St,,,New York,US,"['157 Duane St', 'New York, NY 10013']",NY,10013,Khe-Yo,+12125871089,$$$,4.0,574,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/khe-yo-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
18,wei-west-new-york,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'singaporean', 'title': 'Singaporean'}]",40.7153813008908,-74.0140129398852,(212) 786-1300,2033.8440406340626,GzY2EjCmGNgvRd7IE20fTA,https://s3-media1.fl.yelpcdn.com/bphoto/oE8Xptas64LJ1M6fCJHHfw/o.jpg,False,235 Murray St,,,New York,US,"['235 Murray St', 'New York, NY 10282']",NY,10282,Wei West,+12127861300,$$,3.0,184,"['delivery', 'pickup']",https://www.yelp.com/biz/wei-west-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
