,id,name,alias,cat,categories,geometry,longitude,latitude,address,city,state,zipcode,price,rating,reviews,closed,tr_pickup,tr_delivery,tr_restaurant_reservation,region
1189,CJXVkLtlWmpCaHMRUII8XQ,Paprika Kosher Catering & Restaurant,paprika-kosher-catering-and-restaurant-new-york,Mediterranean,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'kosher', 'title': 'Kosher'}]",POINT (-73.98220000000001 40.74727),-73.9822,40.74727,"['56 E 34th St', 'New York, NY 10016']",New York,NY,10016.0,2.0,4.0,45,0,1,1,0,midmed
1190,jdurWp7Bm_-u_m9M2DE76A,Alba International Food,alba-international-food-staten-island,Mediterranean,"[{'alias': 'turkish', 'title': 'Turkish'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",POINT (-74.09523 40.58323),-74.09523,40.58323,"['1880 Hylan Blvd', 'Staten Island, NY 10305']",Staten Island,NY,10305.0,1.0,4.5,19,0,1,1,0,midmed
1191,0LhrOS_zzu-MlIwmN9ljoA,Grill Point 181,grill-point-181-new-york,Mediterranean,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}]",POINT (-73.93764 40.8504),-73.93764,40.8504,"['736 W 181st St', 'New York, NY 10033']",New York,NY,10033.0,1.0,4.0,40,0,1,1,0,midmed
1192,oucUhaQjSEeJb2F3rVRR_Q,Antique Garage,antique-garage-new-york,Mediterranean,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'turkish', 'title': 'Turkish'}]",POINT (-74.00142 40.72152),-74.00142,40.72152,"['41 Mercer St', 'New York, NY 10013']",New York,NY,10013.0,2.0,3.5,336,0,0,0,0,midmed
1193,YYUvrFhpG22sbP7RFRaxvQ,Grill Point,grill-point-flushing,Mediterranean,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'kosher', 'title': 'Kosher'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",POINT (-73.82360962305231 40.7297819256055),-73.8236096230523,40.7297819256055,"['69-54 Main St', 'Flushing, NY 11367']",Flushing,NY,11367.0,2.0,4.0,160,0,1,1,0,midmed
1194,1_vyc6Z4a78TFMbaCjWqDQ,3 Greeks Grill,3-greeks-grill-long-island-city-2,Mediterranean,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'greek', 'title': 'Greek'}]",POINT (-73.94210099999999 40.762035),-73.942101,40.762035,"['3561 Vernon Blvd', 'Long Island City, NY 11106']",Long Island City,NY,11106.0,1.0,4.5,95,0,1,1,0,midmed
1195,q1uIqB8PvyCCX8TajaRYBg,Little Owl,little-owl-new-york-2,Mediterranean,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",POINT (-74.0053009986877 40.7323808291402),-74.0053009986877,40.732380829140205,"['90 Bedford St', 'New York, NY 10014']",New York,NY,10014.0,3.0,4.0,1171,0,0,0,1,midmed
1196,ZXiT7FuFAkmjg4pXYxb06A,Village Taverna,village-taverna-new-york,Mediterranean,"[{'alias': 'greek', 'title': 'Greek'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",POINT (-73.99306 40.73339),-73.99306,40.73339,"['81 University Pl', 'New York, NY 10003']",New York,NY,10003.0,2.0,3.5,239,0,1,1,0,midmed
1197,_4ztTCCumLK79ZJkNqL3ZQ,Blue,blue-staten-island,Mediterranean,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",POINT (-74.1078338623047 40.6453704833984),-74.1078338623047,40.6453704833984,"['1115 Richmond Ter', 'Staten Island, NY 10310']",Staten Island,NY,10310.0,3.0,4.0,248,0,0,0,0,midmed
1198,srhEv1OqoK9W5JRdiMWDyw,AYZA Wine & Chocolate Bar,ayza-wine-and-chocolate-bar-new-york-6,Mediterranean,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",POINT (-73.987011312828 40.7471774721074),-73.987011312828,40.747177472107396,"['11 W 31st St', 'New York, NY 10001']",New York,NY,10001.0,2.0,4.0,1282,0,0,0,1,midmed
1199,TS2mqGtNhOzMKcSqJvrBPg,Ringolevio,ringolevio-brooklyn,Mediterranean,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",POINT (-73.94337 40.71907),-73.94337,40.71907,"['490 Humboldt St', 'Brooklyn, NY 11222']",Brooklyn,NY,11222.0,2.0,4.5,221,0,1,1,0,midmed
1200,s_YuHngBngWwzpcKNIM71A,Pi Bakerie,pi-bakerie-new-york,Mediterranean,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'greek', 'title': 'Greek'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",POINT (-74.00324999999999 40.723644),-74.00325,40.723644,"['512 Broome St', 'New York, NY 10013']",New York,NY,10013.0,2.0,4.5,195,0,1,0,0,midmed
1201,ift35m5Sbya_3ZWnDo84tA,Kuzina,kuzina-staten-island-7,Mediterranean,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'greek', 'title': 'Greek'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",POINT (-74.0868 40.592724),-74.0868,40.592724,"['1458 Hylan Blvd', 'Staten Island, NY 10305']",Staten Island,NY,10305.0,2.0,4.0,83,0,1,1,0,midmed
1202,SFqvhzfPs1FN3RqVwaKYaQ,Sofia's Mediterranean Grill,sofias-mediterranean-grill-hasbrouck-heights,Mediterranean,"[{'alias': 'greek', 'title': 'Greek'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",POINT (-74.07786999999999 40.862153),-74.07786999999999,40.862153,"['220 Blvd', 'Hasbrouck Heights, NJ 07604']",Hasbrouck Heights,NJ,7604.0,2.0,4.5,278,0,0,0,0,midmed
1203,wtfEOjfOWVuugf-SuCC5yA,Avra Madison,avra-madison-new-york,Mediterranean,"[{'alias': 'greek', 'title': 'Greek'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",POINT (-73.97166 40.7644),-73.97166,40.7644,"['14 E 60th St', 'New York, NY 10022']",New York,NY,10022.0,4.0,3.5,139,0,0,0,0,midmed
1204,2VDKr3954XX41KwEcbX7lg,Green Fig,green-fig-new-york-2,Mediterranean,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",POINT (-73.9956 40.75912),-73.9956,40.75912,"['570 10th Ave', 'New York, NY 10036']",New York,NY,10036.0,2.0,3.5,96,0,1,1,0,midmed
