FIPS,Census Tract,Pop Density,Income,Age,Household Size,Total Pop,ACS_Mexican,ACS_Cuban,ACS_Dominican,ACS_Salvadoran,ACS_Colombian,ACS_Peruvian,ACS_Venezuelan,ACS_Indian,ACS_Cambodian,ACS_Chinese,ACS_Filipino,ACS_Japanese,ACS_Korean,ACS_Laotian,ACS_Malaysian,ACS_Nepalese,ACS_Pakistani,ACS_Taiwanese,ACS_Thai,ACS_Vietnamese,ACS_Lebanese,ACS_Moroccan,ACS_Armenian,ACS_French,ACS_German,ACS_Greek,ACS_Irish,ACS_Italian,ACS_Polish,ACS_Russian,ACS_Turkish,ACS_Haitian,ACS_White,ACS_Black or African American,ACS_American Indian and Alaska Native,ACS_Asian,ACS_Hispanic or Latino,PlaceFIPS,TractFIPS,Place_TractID,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,OBESITY_CrudePrev,Yelp_Total,Yelp_asian,Yelp_european,Yelp_halal,Yelp_hispanic,Yelp_midmed,Yelp_Armenian,Yelp_Cambodian,Yelp_Caribbean,Yelp_Chinese,Yelp_Colombian,Yelp_Cuban,Yelp_Dominican,Yelp_Filipino,Yelp_French,Yelp_German,Yelp_Greek,Yelp_Haitian,Yelp_Halal,Yelp_Himalayan Nepalese,Yelp_Indian,Yelp_Irish,Yelp_Italian,Yelp_Japanese,Yelp_Jewish,Yelp_Korean,Yelp_Kosher,Yelp_Latin American,Yelp_Lebanese,Yelp_Malaysian,Yelp_Mediterranean,Yelp_Mexican,Yelp_Middle Eastern,Yelp_Moroccan,Yelp_Pakistani,Yelp_Peruvian,Yelp_Polish,Yelp_Puerto Rican,Yelp_Russian,Yelp_Salvadoran,Yelp_Shanghainese,Yelp_Singaporean,Yelp_Taiwanese,Yelp_Thai,Yelp_Turkish,Yelp_Venezuelan,Yelp_Vietnamese,label
36005000100,100.0,11586.31,,32.1,,7503.0,1.86592029855,0.279888044782,5.07796881248,0.479808076769,0.10662401706,0.0,0.0,0.7330401172859999,0.0,0.519792083167,0.0,0.0,0.133280021325,0.0,0.0,0.06664001066240001,0.0,0.0,0.0,0.0,0.0799680127949,0.06664001066240001,0.0,0.0,0.399840063974,0.0,0.6530721044919999,0.413168066107,0.453152072504,0.439824070372,0.0,0.613088098094,12.4350259896,62.6016260163,0.186592029855,1.7992802878799998,29.854724776799998,3651000.0,36005000100.0,3651000-36005000100,9.9,27.8,35.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
36005000200,200.0,28365.12,70893.0,38.6,3.94,5251.0,3.86593029899,0.190439916206,12.8166063607,0.0,1.23785945534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00933155589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.856979622929,0.0,0.87602361455,0.0,0.6855836983429999,0.0,0.0,0.0,43.4583888783,24.7952770901,0.0,2.7994667682300003,74.9571510189,3651000.0,36005000200.0,3651000-36005000200,12.7,33.8,29.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
36005000400,400.0,20096.47,76667.0,39.4,3.1,5980.0,1.67224080268,1.52173913043,13.2441471572,0.0,0.0,0.0,0.401337792642,0.317725752508,0.0,0.0,0.384615384615,0.0,0.0334448160535,0.0,0.0,0.0,0.0,0.0,0.0,0.217391304348,0.0,0.0,0.0,0.0,0.16722408026799998,0.384615384615,0.434782608696,2.54180602007,0.351170568562,0.150501672241,0.0,0.0,43.3612040134,33.762541806,0.317725752508,0.953177257525,64.6822742475,3651000.0,36005000400.0,3651000-36005000400,11.2,31.4,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
36005001600,1600.0,32334.87,31540.0,36.9,2.94,6056.0,0.577939233818,1.46961690885,29.920739762199997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.132100396301,0.132100396301,0.148612945839,0.0660501981506,0.429326287979,0.743064729194,0.132100396301,0.115587846764,0.0,0.5284015852049999,43.3124174373,36.0799207398,0.0,0.0,66.7272126816,3651000.0,36005001600.0,3651000-36005001600,17.0,37.8,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
36005001900,1900.0,4164.445,39130.0,32.5,2.27,2682.0,4.80984340045,0.0,17.0022371365,2.79642058166,0.6338553318419999,1.52870991797,0.223713646532,0.708426547353,0.0,0.372856077554,0.149142431022,0.447427293065,0.186428038777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4914243102200002,0.0,1.7897091722599998,2.27442207308,0.29828486204300003,0.260999254288,0.111856823266,0.820283370619,16.8530947054,37.0618941089,0.0,1.86428038777,54.02684563760001,3651000.0,36005001900.0,3651000-36005001900,11.4,30.8,33.0,5.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8
36005002000,2000.0,59785.98,17083.0,32.5,3.04,9131.0,4.577811849740001,0.0,20.5782499179,0.0,0.383309604644,0.0,0.0,1.64275544847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.832329427226,0.0,0.0,0.0,0.0,0.0,0.0,0.164275544847,0.0,0.0,0.0,0.0,0.339502792684,32.986529405300004,45.121016318,1.80703099332,2.66126382653,61.36239185189999,3651000.0,36005002000.0,3651000-36005002000,18.1,38.1,37.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
36005002300,2300.0,119395.1,16503.0,27.8,2.46,4824.0,3.73134328358,0.601160862355,11.546434494200001,0.248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.601160862355,0.0,0.186567164179,1.09867330017,0.0,0.0,0.0,0.0,17.868988391400002,41.0033167496,1.96932006633,0.0,62.7694859038,3651000.0,36005002300.0,3651000-36005002300,21.0,41.2,39.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
36005002400,2400.0,471.3173,,27.9,4.73,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.1544715447,0.0,0.0,0.0,0.0,0.0,47.1544715447,52.8455284553,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
36005002500,2500.0,114799.5,21060.0,30.4,3.11,5651.0,18.9523978057,0.0,19.44788533,2.51282958768,0.0,0.0,0.0,0.76092726951,0.0,1.6457264201,0.0,0.0,0.106175898071,0.0,0.0,0.19465581313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.230047779154,0.230047779154,0.0,0.495487524332,0.0,0.123871881083,0.0,0.0,0.0,15.7317288975,20.792780038900002,0.0,3.3445407892400003,77.79154132010001,3651000.0,36005002500.0,3651000-36005002500,15.4,36.1,35.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
36005002701,2701.0,95086.26,18409.0,25.2,2.82,3034.0,13.0191166777,2.0105471325,14.7000659196,0.0,0.0,1.68094924192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5273566249180001,0.692155570204,0.0,0.0,0.0,0.0,12.656558998,34.574818721199996,0.0,0.0,68.0290046144,3651000.0,36005002701.0,3651000-36005002701,16.4,36.4,36.9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
36005002702,2702.0,78014.09,16000.0,27.3,3.07,4684.0,8.32621690863,0.149444918873,16.09735269,0.0,0.149444918873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.960717335611,0.0,0.0,0.0,14.560204953,36.357813834299996,1.17421007686,0.0,69.0862510675,3651000.0,36005002702.0,3651000-36005002702,15.9,36.2,37.2,5.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
